source,type,type_updated,pub_date,1_over_chance,odds,notes,superstition,house_advantage,women_involved,house_cheating,customers_losing,people_stupid,too_many_choices
（民國）象山縣志32卷,gazetteer,g_c_p,民国十五年,34,30,,1,,1,,,,
（民國）象山縣志32卷,gazetteer,g_c_p,民国十五年,36,,,1,,1,,,,
（同治）南海縣志26卷,gazetteer,g_c_p,同治十一年,36,,,,,1,,1,,
瀋故4卷,gazetteer,g_c_p,民国二十年,36,30,,,,,,1,,
天台日记,gazetteer,g_c_p,道光九年,,30,,,,,1,1,1,
出山草譜卷三,classic_ancient_books,g_c_p,光绪,34,32,,1,,,,,,
韓大中丞奏議卷九,classic_ancient_books,g_c_p,道光,36,32,,,,,,,,
清文獻通考卷二百二刑考,classic_ancient_books,g_c_p,,,30,,,,,,,1,
詩鐸26卷     卷十三,classic_ancient_books,g_c_p,同治八年,36,35,,1,,1,,,1,
五百石洞天揮麈12卷     卷三,classic_ancient_books,g_c_p,光緖二十五年,37,,,1,,,,,1,
夷牢溪廬詩鈔7卷     卷六,classic_ancient_books,g_c_p,,36,30,,,,,,,,
右台仙館筆記16卷     卷十二,classic_ancient_books,g_c_p,光緖二十五年,34,30,,1,,,,,,
咫聞録12卷     卷七,classic_ancient_books,g_c_p,道光二十三年,36,30,,1,,1,,1,,
妙吉祥室詩鈔13卷附錄2卷壽閒齋吟草8卷,personal_writings,g_c_p,36,34,,,1,1,1,,1,,
釃江詩草卷之九,personal_writings,g_c_p,36,30,,,1,,,,1,,
鎭亭山房文集卷七,personal_writings,g_c_p,,30,,,1,,1,,,1,
游览指南第十七类,republican_era_books,book,,34,20,,1,,1,,1,,
上海黑幕彙編,republican_era_books,book,,34,28,,1,1,,,,,
上海春秋,republican_era_books,book,,34,28,,1,1,,,,,
中华全国风俗志,republican_era_books,book,,36,,,1,,,,,,
中国农村动态,republican_era_books,book,,36,30,,1,,,,1,,
近五十年见闻录,republican_era_books,book,,36,,,1,,,,,,
云南游记 ,republican_era_books,book,,36,30,,,,,,,,
男女节欲指导,republican_era_books,book,,34,30,,,,,,1,,
赌棋山庄笔记,republican_era_books,book,,37,30,,,,,,,,
闲话上海,republican_era_books,book,,37,34,,1,,1,1,1,1,1
津门艳迹,republican_era_books,book,,37,,,,,1,1,1,,
荒唐大观,republican_era_books,book,,34,29,,1,,1,1,1,1,
上海鳞爪,republican_era_books,book,,36,28,,1,,,,1,,1
"	儿童宝筏",republican_era_books,book,,36,30,,1,,1,,1,,
东南 ,republican_era_books,book,,36,36,,,,,,,,
破除迷信全书,republican_era_books,book,,36,36,,1,,,,1,,
上海门径,republican_era_books,book,,36,34,,1,,,,1,,1
俞曲园笔记,republican_era_books,book,,34,30,,1,,,,,,
不做亡国奴,republican_era_books,book,,32,32,,,,,,1,,
日本铁蹄下的东北,republican_era_books,book,,32,30,,,,,,1,,
最近百年上海历史演义:长篇社会历史小说,republican_era_books,book,,36,36,,1,,,,1,,
百弊丛书,republican_era_books,book,,34,28,,1,1,,1,1,,1
沪滨神探录:近代著名包探案,republican_era_books,book,,32,30,,1,,1,,,,
华北现势,republican_era_books,book,,,30,,1,,,,1,,
上海神秘指南:黑慕全书,republican_era_books,book,,37,34,,1,,,,1,,
上海妇女孽镜台:附百美图,republican_era_books,book,,32,30,,1,,,,,,1
新上海,republican_era_books,book,,32,30,,1,1,1,1,1,,1
老上海,republican_era_books,book,,36,28,,1,,,1,1,,
